id_a,id_b,x,y,dtheta,msg_id
1,3,1.0252625114347733,0.13431759629698423,0.0,233
2,1,1.5385530468457502,-0.5941239320025263,0.018180048261461267,234
2,3,2.100829157932659,-0.2571331987083857,0.0,235
0,1,1.5262173423729581,0.1691336228411925,-0.3745261899817924,236
0,3,2.1426510131895293,-0.15127183442706338,0.0,237
1,3,1.0247616137417446,0.13435621948565046,0.0,238
2,1,1.555811907506575,-0.6003409071856828,0.03331718363522077,239
2,3,2.1245944966456944,-0.24991718930626375,0.0,240
0,1,1.528182546704508,0.16927653028440515,-0.36481209269778425,241
0,3,2.272962595151984,-0.21226982879899234,0.0,242
1,3,1.2028492621239604,0.13059259157443137,0.0,243
2,1,1.5314776314063907,-0.5914636296825764,0.03734828122849127,244
2,3,3.1222174531086635,-0.1963373679573477,0.0,245
0,1,1.55606221315134,0.17016059987057924,-0.3776599944328507,246
0,3,3.1179332079884987,-0.5792854340140815,0.0,247
1,3,2.0946082977862917,0.08699936320029195,0.0,248
2,3,3.198308834653293,-0.31866441420834196,0.0,249
0,1,1.5406932095896282,0.1699956160529668,-0.37945899479849554,250
0,3,3.1227878758966066,-0.7520245256226462,0.0,251
1,3,2.1259831466743924,-0.08297378096657577,0.0,252
2,1,1.5194379426896332,-0.5875256781463735,0.02212468109233227,253
2,3,3.1909243050589966,-0.4977364499712216,0.0,254
0,1,1.545761226702782,0.16990195008810297,-0.39363850621063406,255
0,3,3.0045530720086226,-0.9807940778235673,0.0,256
1,3,2.141253754993095,-0.33196895906908497,0.0,257
2,1,1.5107531773187606,-0.5844848993708396,0.004346633224269374,258
2,3,3.1807811885702324,-0.7339939146409535,0.0,259
0,1,1.5430522300603686,0.16962300328927038,-0.38645168394482315,260
0,3,2.9953500640773885,-1.2434147251216292,0.0,261
1,3,2.1814438416452924,-0.5913882726687312,0.0,262
2,1,1.510369401745461,-0.5844729239571437,0.0024614499591924808,263
2,3,3.254399372410609,-1.0114086377913818,0.0,264
0,1,1.5437250229294335,0.17024818133671224,-0.38388728847432085,265
0,3,2.9159604321062815,-1.413606777774356,0.0,266
1,3,2.1779767931743477,-0.7407244602114997,0.0,267
2,1,1.5228403827152255,-0.588675993381198,0.04012838957139927,268
0,1,1.5348304780918531,0.16929363663753602,-0.3893540554472641,269
0,3,2.9363872269591638,-1.421206705202513,0.0,270
1,3,2.1908821754045205,-0.7445509500196847,0.0,271
2,1,1.5574308938772619,-0.6011755465734518,0.03461939992344558,272
0,1,1.522025003667792,0.1690392884755962,-0.36083476826343985,273
0,3,2.9721682016832323,-1.4387462764172751,0.0,274
1,3,2.142695930558812,-0.7251795687766012,0.0,275
0,1,1.5509293850739818,0.17155213331620922,-0.39113406673166157,276
0,3,2.74815543162628,-1.2758289655913753,0.0,277
1,3,2.1138968202171435,-0.6788341246302002,0.0,278
2,1,1.50656146382442,-0.5860602187925951,-0.03356537161676422,279
2,3,3.125953686580794,-0.9702779150220275,0.0,280
0,1,1.558389347904668,0.17047090846152088,-0.400508656955337,281
0,3,2.765181459495895,-1.1646862013772283,0.0,282
1,3,1.8310540719019581,-0.496236286359594,0.0,283
2,1,1.5316706749954214,-0.5929596192040494,0.006137861073901577,284
2,3,2.738825248578447,-0.7555101188469437,0.0,285
0,1,1.5218656376468211,0.16917739826404066,-0.37081980965952577,286
0,3,2.5285369470745427,-0.7993587119488463,0.0,287
1,3,1.4631728260131989,-0.28477711214415924,0.0,288
2,3,2.4843730813537745,-0.6238969927472764,0.0,289
0,1,1.5824031658264013,0.17072872461605637,-0.4195010232649223,290
0,3,2.327225010697071,-0.5362484716340254,0.0,291
1,3,1.234163440301483,-0.13530883283776426,0.0,292
2,3,2.2468557691091506,-0.469990713959568,0.0,293
0,1,1.5875727745192012,0.17090257918627694,-0.42561936942926615,294
0,3,2.1147127355267226,-0.30433422245021363,0.0,295
1,3,1.0129808633568582,0.00865286263200442,0.0,296
2,3,2.070816150353914,-0.3611735164782457,0.0,297
0,1,1.5298559159569118,0.1698777745430802,-0.37140635581451825,298
0,3,2.023068690988969,-0.14118808649131762,0.0,299
1,3,0.9047593553859123,0.09723137802025941,0.0,300
2,1,1.5584878944769476,-0.6010546045000106,0.03698756424919838,301
2,3,1.9633622577252718,-0.29854684346434907,0.0,302
0,1,1.5356725243067668,0.16951623330327545,-0.3715879759132035,303
0,3,2.005763296847191,-0.13690329248629698,0.0,304
1,3,0.9044533004488128,0.0973128422873533,0.0,305
2,1,1.530605447904291,-0.5931118498189942,0.015933014806625234,306
2,3,2.0015574948027917,-0.3002916345319195,0.0,307
0,1,1.5195936201169649,0.16882123445204647,-0.3699117230464987,308
0,3,2.013291276853868,-0.1371551318931707,0.0,309
1,3,1.0252625114347733,0.13431759629698423,0.0,310
2,1,1.5385530468457502,-0.5941239320025263,0.018180048261461267,311
2,3,2.116378112267875,-0.2603707923300575,0.0,312
1,3,1.0247724986353521,0.1341137824253661,0.0,313
2,1,1.4827286577886727,-0.5756672237638865,-0.03255550751187011,314
2,3,2.1384567754119885,-0.26221641250924677,0.0,315
0,1,1.5103702732592117,0.16954700611115672,-0.33722002644389626,316
0,3,2.1360993104759847,-0.15302482992859942,0.0,317
1,3,1.0879767583260127,0.13164076213002954,0.0,318
2,1,1.54975385473829,-0.597944017423907,0.01851842011796355,319
2,3,2.235390417793603,-0.255411880662716,0.0,320
0,1,1.5338089334497402,0.17066878248510783,-0.3535771304022404,321
0,3,2.359543669991496,-0.2429598830788374,0.0,322
1,3,1.3792023345009123,0.155368140553847,0.0,323
2,1,1.6389690199809002,-0.49702736270612446,2.3785451524273262,324
2,3,2.549698825885122,-0.2067119761011835,0.0,325
0,1,1.5394900225676846,0.16994790771738122,-0.3802524321411066,326
0,3,2.694612553002033,-0.3294091355981644,0.0,327
1,3,1.68759891302782,0.17702033023563932,0.0,328
2,1,1.5540544959586606,-0.5997827088759208,0.03196950923684464,329
2,3,2.8421649276165617,-0.1904188826098384,0.0,330
