id_a,id_b,timestamp,x0,x1,x2,std_x0,std_x1,std_x2,trace_P,cross_cov_norm,trace_P_before,eig_min_P,sym_err_P,phi_trace,correction_norm,residual_norm,residual
0,1,1787690731.188943,-0.390614,-0.459327,0.153051,0.243970,0.253601,0.209970,0.167922,0.288832,0.168824,0.031500,0.000000,3.000000,0.008305,0.421866,-0.231359;0.290063;0.200768
0,3,1787690731.291407,-0.390614,-0.459327,0.153051,0.243990,0.253602,0.209994,0.167943,0.288832,0.167943,0.031508,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690731.790926,-0.390614,-0.459327,0.153051,0.244110,0.253604,0.210137,0.168063,0.288832,0.168063,0.031553,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,3,1787690731.890356,-0.390614,-0.459327,0.153051,0.244190,0.253606,0.210232,0.168142,0.288832,0.168142,0.031583,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690731.990235,-0.390614,-0.459327,0.153051,0.244190,0.253606,0.210232,0.168142,0.288832,0.168142,0.031583,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,3,1787690732.091166,-0.390614,-0.459327,0.153051,0.244270,0.253608,0.210327,0.168222,0.288832,0.168222,0.031613,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690732.191120,-0.390614,-0.459327,0.153051,0.244270,0.253608,0.210327,0.168222,0.288832,0.168222,0.031613,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690732.791420,-0.390614,-0.459327,0.153051,0.244510,0.253614,0.210612,0.168462,0.288832,0.168462,0.031703,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690732.891052,-0.390614,-0.459327,0.153051,0.244590,0.253615,0.210707,0.168542,0.288832,0.168542,0.031733,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690733.091342,-0.390614,-0.459327,0.153051,0.244670,0.253617,0.210802,0.168622,0.288832,0.168622,0.031763,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690733.690957,-0.390614,-0.459327,0.153051,0.244909,0.253623,0.211087,0.168862,0.288832,0.168862,0.031852,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690734.091619,-0.390614,-0.459327,0.153051,0.245009,0.253625,0.211205,0.168962,0.288832,0.168962,0.031890,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690734.191428,-0.390614,-0.459327,0.153051,0.245088,0.253627,0.211300,0.169042,0.288832,0.169042,0.031919,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
